epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,177842,0.31268,0.17566,0.80725,0.96016,0.9465,0.97113,0.79932,0.40977,0.19057,0.76303,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,180768,0.31534,0.17763,0.80799,0.95805,0.94533,0.97091,0.80209,0.40581,0.18611,0.76253,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,183912,0.30785,0.16658,0.78961,0.95539,0.94745,0.96875,0.79587,0.41397,0.19282,0.765,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,186661,0.30075,0.16328,0.79139,0.95804,0.94533,0.96928,0.79691,0.41389,0.19257,0.76446,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,189155,0.29892,0.16231,0.78912,0.9556,0.94798,0.97049,0.79772,0.41022,0.19016,0.76361,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,191220,0.29159,0.15957,0.79126,0.95666,0.949,0.97109,0.79883,0.40932,0.19126,0.76323,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,193276,0.29516,0.16079,0.78925,0.95452,0.94586,0.96949,0.7974,0.41055,0.19052,0.76256,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,195043,0.29549,0.16195,0.78867,0.95579,0.9448,0.97036,0.79755,0.41111,0.19225,0.76318,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,196601,0.28915,0.15802,0.78883,0.95606,0.94697,0.97115,0.79803,0.40853,0.19046,0.76218,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,198269,0.28737,0.15656,0.7884,0.955,0.9463,0.97106,0.79767,0.40985,0.19175,0.76263,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,200145,0.29209,0.1574,0.7875,0.95645,0.94692,0.97166,0.79723,0.40889,0.19094,0.76256,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,201798,0.28241,0.15514,0.78757,0.95587,0.94692,0.97105,0.7986,0.40975,0.19055,0.7629,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
